question,choices,answer_key,cot_response,predicted
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","['ignore', 'enforce', 'authoritarian', 'yell at', 'avoid']",A,"A: The answer should be something that sanctions do to the efforts of a school. Of the above choices, ignore is the closest. So the answer is (a).",A
Sammy wanted to go to where the people were.  Where might he go?,"['race track', 'populated areas', 'the desert', 'apartment', 'roadblock']",B,"A: The answer must be a place with a lot of people. Of the above choices, only populated areas have a lot of people. So the answer is (b).",B
Google Maps and other highway and street GPS services have replaced what?,"['united states', 'mexico', 'countryside', 'atlas', 'oceans']",D,"A: The answer must be something that used to do what Google Maps and GPS services do, which is to give directions. Of the above choices, only atlases are used to give directions. So the answer is (d).",D
What home entertainment equipment requires cable?,"['radio shack', 'substation', 'cabinet', 'television', 'desk']",D,"A: The answer must be a home entertainment equipment that requires cable. Of the above choices, only television requires cable. So the answer is (d).",D
"The only baggage the woman checked was a drawstring bag, where was she heading with it?","['garbage can', 'military', 'jewelry store', 'safe', 'airport']",E,"A: The answer must be a place where someone might go with a drawstring bag. Of the above choices, the most sense is airport. So the answer is (e).",E
"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","['carpet', 'refrigerator', 'breadbox', 'fridge', 'coach']",B,"A: The answer must be a place where leftovers are put. Of the above choices, refrigerator and fridge are the most used for leftovers. So the answer is (b).",B
What do people use to absorb extra ink from a fountain pen?,"['shirt pocket', ""calligrapher's hand"", 'inkwell', 'desk drawer', 'blotter']",E,"A: The answer must be an item that can absorb ink. Of the above choices, only blotters are used to absorb ink. So the answer is (e).",E
Where is a business restaurant likely to be located?,"['town', 'at hotel', 'mall', 'business sector', 'yellow pages']",D,"A: The answer must be a place where people who work in business are likely to be. Of the above choices, business sector is the most likely place for a business restaurant. So the answer is (d).",D
Where do you put your grapes just before checking out?,"['mouth', 'grocery cart', 'super market', 'fruit basket', 'fruit market']",B,"A: The answer should be the place where grocery items are placed before checking out. Of the above choices, grocery cart makes the most sense for holding grocery items. So the answer is (b).",B
"Before getting a divorce, what did the wife feel who was doing all the work?","['harder', 'anguish', 'bitterness', 'tears', 'sadness']",C,"A: The answer should be the feeling of someone getting divorced who was doing all the work. Of the above choices, the closest feeling is bitterness. So the answer is (c).",C
James was cooling off two quickly.  He would die if he didn't find some way to stop what?,"['loss of heat', 'revenge', 'expansion', 'relaxation', 'calm down']",A,"A: The answer must be something that is cooling off James to the place where he would die. Of the above choices, loss of heat is the most sense. So the answer is (a).",A
"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","['yard', 'basement', 'kitchen', 'living room', 'garden']",C,"A: The answer must be a room where aromas are most used. Of the above choices, the kitchen is the most used for aromas. So the answer is (c).",C
"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","['low lands', 'new york', 'forest', 'louisiana', 'everglades']",D,"A: The answer must be a place where Cajun is a natural and used. Of the above choices, only louisiana is where Cajun is a natural and used. So the answer is (d).",D
What is it called when you slowly cook using a grill?,"['backyard', 'restaurant', 'crockpot', ""neighbor's house"", 'barbeque']",E,"A: The answer must be a cook using a grill. Of the above choices, only barbeque is a cook using a grill. So the answer is (e).",E
Where would you expect to find a pizzeria while shopping?,"['chicago', 'street', 'little italy', 'food court', 'capital cities']",D,"A: The answer must be a place where you would find food while shopping. Of the above choices, food court is the most place where you would find a pizzeria while shopping. So the answer is (d).",D
